[ 2026-06-26 15:05:54,209 ] 18 root - INFO - Logging configured successfully
[ 2026-06-26 15:06:03,430 ] 19 root - INFO - Initiate the data ingestion
[ 2026-06-26 15:06:07,641 ] 66 root - INFO - Performed train test split on the dataframe
[ 2026-06-26 15:06:07,641 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-26 15:06:07,646 ] 76 root - INFO - Exporting train and test file path.
[ 2026-06-26 15:06:07,893 ] 85 root - INFO - Exported train and test file path.
[ 2026-06-26 15:06:07,895 ] 21 root - INFO - Data Initiation Completed
[ 2026-06-26 15:06:07,906 ] 26 root - INFO - Initiate the data Validation
[ 2026-06-26 15:06:08,398 ] 32 root - INFO - Required number of columns:2
[ 2026-06-26 15:06:08,399 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-26 15:06:08,399 ] 32 root - INFO - Required number of columns:2
[ 2026-06-26 15:06:08,399 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-26 15:06:09,127 ] 28 root - INFO - data Validation Completed
[ 2026-06-26 15:06:09,128 ] 32 root - INFO - data Transformation started
[ 2026-06-26 15:06:09,128 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-26 15:06:09,128 ] 65 root - INFO - Starting data transformation
